ID,Title of the publication,Author full names,Source title,doi,Year,Applications category,Name/s of the crop,Scientific name/s
512,"Olea ferruginea Royle, Indian olive: An underutilised fruit tree crop of north-west Himalaya",Joshi S.,Fruits,10.1051/fruits/2012003,2012,Medicinal properties,Indian olive,Olea ferruginea Royle
513,"Relationship between indigenous processing methods of xylia xylocarpa seeds and their total free phenolics, antioxidant activity and health-relevant functionality",Vadivel V.; Biesalski H.K.,Journal of Food Biochemistry,10.1111/j.1745-4514.2011.00636.x,2013,Medicinal properties,Taub.,Xylia xylocarpa (Roxb.)
514,"Antioxidant and phytochemical study on pengolaban (Litsea garciae), an edible underutilized fruit endemic to Borneo",Hassan S.H.A.; Fry J.R.; Bakar M.F.A.,Food Science and Biotechnology,10.1007/s10068-013-0202-x,2013,Medicinal properties,Pengolaban,Litsea garciae
515,"Local knowledge, use pattern and geographical distribution of Moringa oleifera Lam. (Moringaceae) in Nigeria",Popoola J.O.; Obembe O.O.,Journal of Ethnopharmacology,10.1016/j.jep.2013.09.043,2013,Medicinal properties,Moringa ,Moringa oleifera
516,Antioxidant Potential and Type II Diabetes-Related Enzyme Inhibition of Cassia obtusifolia L.: Effect of Indigenous Processing Methods,Vadivel V.; Kunyanga C.N.; Biesalski H.K.,Food and Bioprocess Technology,10.1007/s11947-011-0620-9,2012,Medicinal properties,Sicklepod,Cassia obtusifolia L.
517,Genetic resources of Chironji (Buchanania lanzan Spreng.): A socio-economically important tree species of central Indian tribal population,Malik S.K.; Chaudhury R.; Panwar N.S.; Dhariwal O.P.; Choudhary R.; Kumar S.,Genetic Resources and Crop Evolution,10.1007/s10722-012-9801-2,2012,Medicinal properties,Chironji,Buchanania lanzan Spreng.
518,"Nutritional and antinutritional composition of itching bean (Mucuna pruriens (L.) DC var. pruriens): An underutilized tribal pulse in Western Ghats, Tamil Nadu",Kalidass C.; Mohan V.R.,Tropical and Subtropical Agroecosystems,,2011,Medicinal properties,Itching bean,Mucuna pruriens (L.
519,"Characterisation of phenolic acids, flavonoids, proanthocyanidins and antioxidant activity of water extracts from seed coats of marama bean [Tylosema esculentum] - an underutilised food legume",Shelembe J.S.; Cromarty D.; Bester M.J.; Minnaar A.; Duodu K.G.,International Journal of Food Science and Technology,10.1111/j.1365-2621.2011.02889.x,2012,Medicinal properties,Marama bean,Tylosema esculentum
520,The chemistry and medicinal uses of the underutilized Indian fruit tree Garcinia indica Choisy (kokum): A review,Baliga M.S.; Bhat H.P.; Pai R.J.; Boloor R.; Palatty P.L.,Food Research International,10.1016/j.foodres.2011.01.064,2011,Medicinal properties,Kokum,Garcinia indica Choisy Syn Brindonia indica
521,Traditional herbal remedies that influence cell adhesion molecule activity,Spelman K.; Aldag R.; Hamman A.; Kwasnik E.M.; Mahendra M.A.; Obasi T.M.; Morse J.; Williams E.J.,Phytotherapy Research,10.1002/ptr.3350,2011,Medicinal properties,,"Artemisia asiatica, Boswellia serrata, Canscora decussata, Cinnamomum povectum, Dehaasia incrassate, Ganoderma lucidum, Ginkgo biloba, Hypericum perforatum, Juglans regia, Lycopus lucidus, Panax notoginseng, Rheum undulatum, Salvia miltiorrhiza"
522,Phenolic content in traditionally processed erythrina indica L. seeds: Antioxidant potential and type II diabetes related functionality,Vadivel V.; Biesalski H.K.,Current Nutrition and Food Science,10.2174/157340111797264831,2011,Medicinal properties,Paltemadar,Erythrina indica L.
523,Moringa (Moringa oleifera Lam.): A review,Emongor V.E.,Acta Horticulturae,10.17660/ActaHortic.2011.911.58,2011,Medicinal properties,Moringa,Moringa oleifera Lam.
524,The Morama Bean (Tylosema esculentum). A Potential Crop for Southern Africa,Jackson J.C.; Duodu K.G.; Holse M.; de Faria M.D.L.; Jordaan D.; Chingwaru W.; Hansen A.; Cencic A.; Kandawa-Schultz M.; Mpotokwane S.M.; Chimwamurombe P.; de Kock H.L.; Minnaar A.,Advances in Food and Nutrition Research,10.1016/B978-0-12-374468-5.00005-2,2010,Medicinal properties,"Morama bean (gemsbok bean, moramaboontjie, elandboontjie, braaiboonjie, marama, marumana, tsi, tsin, gami, and ombanui)",Tylosema esculentum
525,"Total phenolic content, antioxidant activity, and type II diabetes related functionality of traditionally processed ox-eye bean [mucuna gigantea (Willd) DC.] seeds: An indian underutilized food legume",Vadivel V.; Biesalski H.K.,Food Science and Biotechnology,10.1007/s10068-011-0109-3,2011,Medicinal properties,Ox-eye bean,Mucuna gigantea (Willd)
526,Pithecellobium jiringa legume flour for potential food applications: Studies on their physico-chemical and functional properties,Sridaran A.; Karim A.A.; Bhat R.,Food Chemistry,10.1016/j.foodchem.2011.07.062,2012,Medicinal properties,Jering ,Pithecellobium jiringa
527,Antioxidant and free radical scavenging activities of some fruits,Prakash D.; Upadhyay G.; Pushpangadan P.; Gupta C.,Journal of Complementary and Integrative Medicine,10.2202/1553-3840.1513,2011,Medicinal properties,,"Litchi chinensis, Emblica officinalis, Acacia auriculiformis"
528,Enhancing biodiversity management and utilization to improve livelihoods - A Case study of 'Kokum' in India,Kruijssen F.; Sudha M.,Acta Horticulturae,10.17660/ActaHortic.2008.787.17,2008,Medicinal properties,Kokum,Garcinia indica
529,Seabuckthorn (Hippophae sp.) - A potential underutilized fruit plant for cold arid India,Dwivedi S.K.; Ahmed Z.,Acta Horticulturae,10.17660/ActaHortic.2008.769.43,2008,Medicinal properties,Seabuckthorn,Hippophae sp.
530,Decrypting cryptic species: Morphological and molecular evidence for recognizing Navarretia linearifolia as distinct from N. sinistra (Polemoniaceae),Johnson L.A.; Cairns-Heath H.,Systematic Botany,10.1600/036364410792495791,2010,Medicinal properties,,Navarretia linearifolia 
531,GC/MS analysis of bioactive components of benzene/ethanol extractive and pyrolyzate from wasted kernel hull of Camellia oleifera seed,Zhang D.-Q.; Tan X.-F.; Ma Q.-Z.; Tian H.; Gu Z.-J.; Huang Q.-Y.; Peng W.-X.; Liu Q.-M.,"2nd International Conference on Bioinformatics and Biomedical Engineering, iCBBE 2008",10.1109/ICBBE.2008.351,2008,Medicinal properties,,Camellia oleifera
532,Chemical composition of garden cress (Lepidium sativum) seeds and its fractions and use of bran as a functional ingredient,Gokavi S.S.; Malleshi N.G.; Guo M.,Plant Foods for Human Nutrition,10.1007/s11130-004-4308-4,2004,Medicinal properties,Garden cress,Lepidium sativum
533,In vitro propagation of Gundelia tournefortii L.,Owies D.S.; Shibli R.A.; Ereifej K.I.,Advances in Horticultural Science,,2004,Medicinal properties,,Gundelia tournefortii L.
534,Understanding of genetic variables for growth and yield traits of dill (Anethum graveolens L.),Sinhasane S.R.; Shinde U.S.; Dhumal S.S.; Aher A.R.; Manjunathagowda D.C.; Benke A.P.,Genetic Resources and Crop Evolution,10.1007/s10722-022-01409-3,2022,N/R,Dill,Anethum graveolense L.
535,Effect of Bradyrhizobium japonicum Strains and Inorganic Nitrogen Fertilizer on the Growth and Yield of Bambara Groundnut (Vigna subterranea (L.) Verdc) Accessions,Bitire T.D.; Abberton M.; Oyatomi O.; Babalola O.O.,Frontiers in Sustainable Food Systems,10.3389/fsufs.2022.913239,2022,N/R,Bambara groundnut,Vigna subterranea (L.) Verdc
536,"Seed priming with vermicompost leachate, Ecklonia maxima extract-Kelpak® and smoke-water induce heat stress amelioration and growth in Vigna unguiculata L. seedlings",Voko M.P.; Kulkarni M.G.; Finnie J.F.; Van Staden J.,South African Journal of Botany,10.1016/j.sajb.2022.02.025,2022,N/R,Cowpea,Vigna unguiculata L.
537,Genotype-dependent responses to long-term water stress reveal different water-saving strategies in Chenopodium quinoa Willd.,Maestro-Gaitán I.; Granado-Rodríguez S.; Orús M.I.; Matías J.; Cruz V.; Bolaños L.; Reguera M.,Environmental and Experimental Botany,10.1016/j.envexpbot.2022.104976,2022,N/R,Quinoa,Chenopodium quinoa
538,De novo transcriptome assembly and analysis of gene expression in different tissues of moth bean (Vigna aconitifolia) (Jacq.) Marechal,Suranjika S.; Pradhan S.; Nayak S.S.; Parida A.,BMC Plant Biology,10.1186/s12870-022-03583-z,2022,N/R,Moth bean,Vigna aconitifolia
539,A new major QTL for flag leaf thickness in barley (Hordeum vulgare L.),Niu Y.; Chen T.; Zheng Z.; Zhao C.; Liu C.; Jia J.; Zhou M.,BMC Plant Biology,10.1186/s12870-022-03694-7,2022,N/R,Barley ,Hordeum vulgare L.
540,Studies on genetic variability and relationship of bael (Aegle marmelos (L) Correa) using morphological and molecular markers,Amulya R.N.; Adivappar N.; Shivakumar B.S.; Satish K.M.,Journal of Horticultural Sciences,10.24154/jhs.v17i1.846,2022,N/R,Bael,Aegle marmelos (L) Correa
541,"A rapid, simple, and reliable assay to authenticate Peruvian kiwicha (A. caudatus) for food applications",Kanbar A.; Beisel J.; Wetters S.; Gutierrez M.T.; Graeff-Hönninger S.; Nick P.,European Food Research and Technology,10.1007/s00217-022-04089-6,2022,N/R,Kiwicha,Peruvian A. caudatus
542,Species-Specific Variation in Abscisic Acid Homeostasis and Responses Impacts Important Traits in Crassocephalum Orphan Crops,Adedeji-Badmus A.N.; Schramm S.; Gigl M.; Iwebema W.; Albertos P.; Dawid C.; Sieberer T.; Poppenberger B.,Frontiers in Plant Science,10.3389/fpls.2022.923421,2022,N/R,Crassocephalum orphan crops,Crassocephalum rubens and Crassocephalum crepidioides 
543,Diversity of genus Passiflora L. in Mexico and a particular study on Passiflora biflora Lam. fruit characteristics,Franco-Mora O.; López-Sandoval J.A.; Castañeda-Vildózola Á.; Sánchez-Pale J.R.,Genetic Resources and Crop Evolution,10.1007/s10722-022-01406-6,2022,N/R,,Passiflora L. and Passiflora biflora Lam. 
544,"Effect of intermittent shade on nitrogen dynamics assessed by 15N trace isotopes, enzymatic activity and yield of Brassica napus L.",Javed H.H.; Hu Y.; Asghar M.A.; Brestic M.; Abbasi M.A.; Saleem M.H.; Peng X.; Ghafoor A.Z.; Ye W.; Zhou J.; Guo X.; Wu Y.-C.,Frontiers in Plant Science,10.3389/fpls.2022.1037632,2022,N/R,Rapeseed,Brassica napus L.
545,Stimulatory and inhibitory effects of light on Cereus repandus (Cactaceae) seed germination are strongly dependent on spectral quality,Yang X.-Y.; Pritchard H.W.,Seed Science Research,10.1017/S0960258522000150,2022,N/R,Cactus Cereus repandus,Cereus repandus
546,Genetic diversity of domestic (Thai) and imported winged bean [Psophocarpus tetragonolobus (L.) DC.] cultivars assessed by morphological traits and microsatellite markers,Sriwichai S.; Laosatit K.; Monkham T.; Sanitchon J.; Jogloy S.; Chankaew S.,Annals of Agricultural Sciences,10.1016/j.aoas.2022.04.002,2022,N/R,Winged bean,Psophocarpus tetragonolobus (L.) DC.
547,Understanding of histological and physiological alterations in hull-less seeded pumpkin,Kaur A.; Chahal G.K.; Dhatt A.S.,Scientia Horticulturae,10.1016/j.scienta.2022.111321,2022,N/R,Pumpkin,
548,Hybridization and Factors Influencing Seed Set in Oat,Hilli H.J.; Kapoor R.; Amandeep,Indian Journal of Agricultural Research,10.18805/IJARe.A-5813,2022,N/R,Oat,
549,Gamma Rays and Sodium Azide Induced Genetic Variability in High-Yielding and Biofortified Mutant Lines in Cowpea [Vigna unguiculata (L.) Walp.],Raina A.; Laskar R.A.; Wani M.R.; Jan B.L.; Ali S.; Khan S.,Frontiers in Plant Science,10.3389/fpls.2022.911049,2022,N/R,Cowpea,Vigna unguiculata (L.) Walp.
550,Genetic diversity and population structure of an African yam bean (Sphenostylis stenocarpa) collection from IITA GenBank,Shitta N.S.; Unachukwu N.; Edemodu A.C.; Abebe A.T.; Oselebe H.O.; Abtew W.G.,Scientific Reports,10.1038/s41598-022-08271-4,2022,N/R,African yam bean,Sphenostylis stenocarpa
551,The Beneficial Effects of Insect Pollination and Biochar Seed Coating on Okra (Abelmoschus esculentus) Seed Quality at Varying Temperature Conditions,Adelabu D.B.; Franke A.C.,Agriculture (Switzerland),10.3390/agriculture12101690,2022,N/R,Okra,Abelmoschus esculentus
552,Effect of Bradyrhizobium japonicum Strains on the Performance of Accessions of Bambara Groundnut (Vigna subterranea),Bitire T.D.; Abberton M.; Oyatomi O.A.; Babalola O.O.,International Journal of Agriculture and Biology,10.17957/IJAB/15.1947,2022,N/R,Bambara groundnut,Vigna subterranea
553,"Agronomic evaluation of Bambara groundnut, (Vigna subterranea (L.) Verdc)",Onwubiko N.C.; Uguru M.I.; Chimdi G.O.,Tropical Agriculture,,2022,N/R,Bambara groundnut,Vigna subterranea (L.) Verdc
554,"Insights into the genetic diversity of an underutilized Indian legume, Vigna stipulacea (Lam.) Kuntz., using morphological traits and microsatellite markers",Gore P.G.; Gupta V.; Singh R.; Tripathi K.; Kumar R.; Kumari G.; Madhavan L.; Dikshit H.K.; Venkateswaran K.; Pandey A.; Singh N.; Bhat K.V.; Nair R.M.; Pratap A.,PLoS ONE,10.1371/journal.pone.0262634,2022,N/R,Minni payaru,Vigna stipulacea (Lam.) Kuntz
555,Phenotypic Diversity Assessment of Okra (Abelmoschus Esculentus (L.) Moench) Genotypes in Ethiopia Using Multivariate Analysis,Mohammed J.; Mohammed W.; Shiferaw E.,Scientifica,10.1155/2022/3306793,2022,N/R,Okra,Abelmoschus Esculentus (L.) Moench
556,TDZ induces a dual morphogenetic pathway on leaf explants of the beach huckleberry – Gaylussacia brasiliensis,Fritsche Y.; Stefenon V.M.; Lovato P.E.; Guerra M.P.,South African Journal of Botany,10.1016/j.sajb.2022.03.007,2022,N/R,Beach huckleberry,Gaylussacia brasiliensis
557,"Effect of germination and UV-B elicitation on chemical compositions, antioxidant activities, and phytochemical contents of underutilised Mexican blue maize seeds",Chavarín-Martínez C.D.; Reyes-Moreno C.; Milán-Carrillo J.; Perales-Sánchez J.X.K.; Canizalez-Román V.A.; Cuevas-Rodríguez E.O.; López-Valenzuela J.A.; Gutiérrez-Dorado R.,International Food Research Journal,,2022,N/R,Mexican blue maize,
558,Genetic diversity and population structure analysis of Grass pea (Lathyrus sativus L.) accessions collected from North-Western Ethiopia using SSR markers,Mekonen D.A.; Abraham A.; Oselebe H.; Afiukwa C.; Ilesanmi O.; Abebe T.D.,Genetic Resources and Crop Evolution,10.1007/s10722-021-01302-5,2022,N/R,Grass pea,Lathyrus sativus L.
559,Molecular genetic diversity of winged bean gene pool in Thailand assessed by SSR markers,Laosatit K.; Amkul K.; Chankaew S.; Somta P.,Horticultural Plant Journal,10.1016/j.hpj.2021.05.001,2022,N/R,Winged bean,Psophocarpus tetragonolobus (L.) DC
560,Understanding genetic diversity in blackgram [Vigna mungo (L.) Hepper] collections of Indian National Genebank,Gayacharan; Tripathi K.; Aski M.S.; Singh N.; Kumar A.; Lal H.,Genetic Resources and Crop Evolution,10.1007/s10722-021-01301-6,2022,N/R,Blackgram,Vigna mungo (L.) Hepper
561,Datasets for the development of hemp (Cannabis sativa L.) as a crop for the future in tropical environments (Malaysia),Wimalasiri E.M.; Jahanshiri E.; Syaherah T.A.; Kuruppuarachchi N.; Chimonyo V.G.P.; Azam-Ali S.N.; Gregory P.J.,Data in Brief,10.1016/j.dib.2022.107807,2022,N/R,Hemp,Cannabis sativa L.
562,Characterisation of buckwheat (Fagopyrum spp.) diversity of the northwestern Himalayas,Naik S.; Mahajan R.; Sofi P.A.; Abidi I.; Ali G.; Nehvi F.A.; Khan I.; Bhat S.A.; Bhat M.A.; Bhat B.A.; Dar W.A.; Zargar S.M.,Crop and Pasture Science,10.1071/CP22278,2022,N/R,Buckwheat,Fagopyrum spp.
563,Ethyl Methanesulfonate Induced Mutagenesis Enhances Transgenerational Stress Tolerance in Solanum lycopersicum Cultivar ‘Moneymaker,Liu Y.-J.; Li G.-H.; Bai S.-Y.; Zheng F.-S.; Zhou P.-Z.; Li H.-L.; Wang X.-M.; Cheng G.-X.,International Journal of Agriculture and Biology,10.17957/IJAB/15.1934,2022,N/R,Tomato,Solanum lycopersicum
564,Growth performance of the neglected crop Telfairia pedata across elevation and climate gradients in Northern Tanzania,Shayo P.F.; Mbega E.R.; Treydte A.C.,"Trees, Forests and People",10.1016/j.tfp.2022.100216,2022,N/R,,Telfairia pedata
565,Gamma irradiation to induce beneficial mutants in proso millet (Panicum miliaceum L.): an underutilized food crop,Francis N.; Rajasekaran R.; Krishnamoorthy I.; Muthurajan R.; Thiyagarajan C.; Alagarswamy S.,International Journal of Radiation Biology,10.1080/09553002.2022.2024292,2022,N/R,Proso millet,Panicum miliaceum L.
566,Morphological Variability Assessment of Worldwide Germplasm of Pharmaceutically Important Plant Nigella Sativa L.,Aftab A.; Yousaf Z.; Rasheed M.; Younas A.; Qamar N.R.; Yasin H.; Shamsher H.B.,Jordan Journal of Pharmaceutical Sciences,,2022,N/R,,Nigella Sativa L.
567,Similarities and differences of Vicia sativa subspp. sativa and macrocarpa for seed yield and quality,Boulata K.; Irakli M.; Tsialtas J.T.,Crop and Pasture Science,10.1071/CP22125,2022,N/R,,Vicia sativa subspp. Sativa and Vicia sativa subsp. macrocarpa 
568,Utilization of Avocado Seed Powder (Persea americana Mill.) as a Mixture of Modified Cassava Flour in Making Cookies,Novelina; Asben A.; Nerishwari K.; Hapsari S.; Hari P.D.,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1059/1/012060,2022,N/R,Avocado,Persea americana Mill.
569,Genetic Diversity and Environmental Influence on Growth and Yield Parameters of Bambara Groundnut,Olanrewaju O.S.; Oyatomi O.; Babalola O.O.; Abberton M.,Frontiers in Plant Science,10.3389/fpls.2021.796352,2021,N/R,Bambara groundnut,
570,Morphological identification of underutilized local fruits in Kutai Barat Regency to support their conservation and sustainable use,Handayani F.; Nurbani; Pebriandi A.,AIP Conference Proceedings,10.1063/5.0075594,2022,N/R,"Ihau, keramuq, rekeep, hivauu, kapul, ruuiq, and jentiq'an",
